ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S170.68,2596 BUTTONWOOD RUN,The Village of Buttonwood,Sumter,About Time,309900,2,2,1156,"1 Car, plus Golf Car Garage",,28.88962799,-82.01980226,A,P,,251046
S35.78,3243 MANSFIELD ST,The Village of Polo Ridge,Sumter,About Time,287711,2,2,1156,"1 Car, plus Golf Car Garage",,28.93091054,-82.00917612,A,P,,251130
S170.81,1826 CHANCEY WAY,The Village of Buttonwood,Sumter,About Time,299000,2,2,1130,2 Car Garage,,28.88902734,-82.01951753,A,P,,251367
S166.112,1972 ASHWOOD RUN,The Village of Pennecamp,Sumter,Tuckett Inn,359000,3,2,1467,2 Car Garage,,28.88941412,-82.00023188,A,P,,250973
S170.136,1797 CHANCEY WAY,The Village of Buttonwood,Sumter,At Ease,369000,3,2,1477,2 Car Garage,,28.89001967,-82.0190784,A,P,,251207
S640.29,3156 WILLOW BROOK LN,The Village of Glenbrook,Sumter,Bellaire,442000,2,2,1514,"1 Car, plus Golf Car Garage",,28.95042031,-82.00596738,A,P,,251622
S608.62,3121 ARCHER AVE,The Village of Polo Ridge,Sumter,Richmond,499000,2,2,1316,"1 Car, plus Golf Car Garage",,28.93670083,-82.00471188,A,P,,250132
S608.101,876 WINCHESTER CT,The Village of Polo Ridge,Sumter,Mazatlan,350000,2,2,1116,"1 Car, plus Golf Car Garage",,28.93588847,-82.00592875,A,P,,250872
S698.61,1811 MARQUEZ LOOP,The Village Palo Alto,Sumter,Mazatlan,319000,2,2,1214,"1 Car, plus Golf Car Garage",,28.93544021,-81.96958836,A,P,,251190
S947.4,3224 EVANSIDE LN,The Village of Charlotte,Sumter,Callaway,314900,2,2,1206,"1 Car, plus Golf Car Garage",,28.8550543,-81.96451861,A,P,,251452
S942.57,848 SAPPHIRE PL,The Village of Charlotte,Sumter,Bonifay,414000,3,2,1407,"1 Car, plus Golf Car Garage",,28.85117719,-81.97098416,A,P,,250199
S827.19,2485 YALAHA AVE,The Village of St. James,Sumter,Bonifay,378888,3,2,1416,"1 Car, plus Golf Car Garage",,28.87300439,-82.00213374,A,P,hMZAIejpesk,250598
S960.27,1986 URBANE PL,The Village of Lake Deaton,Sumter,Bonifay,359800,3,2,1407,"1 Car, plus Golf Car Garage",,28.83956471,-82.00254423,A,P,,251406
S616.39,2808 BLACK BEAR LN,The Village of Fenney,Sumter,Carrabelle,410000,3,2,1406,"1 Car, plus Golf Car Garage",,28.79565173,-82.02539388,A,P,,251379
S606.33,1102 LIENDO LN,The Village Santiago,Sumter,San Lucas,349900,2,2,1146,"1 Car, plus Golf Car Garage",,28.9420383,-81.99863343,A,P,s16RcpXZVMg,250260
S606.66,1221 SANTA CRUZ DR,The Village Santiago,Sumter,San Lucas,325000,2,2,1174,"1 Car, plus Golf Car Garage",,28.94510735,-81.9996752,A,P,,250980
S159.79,2392 HOOK HOLLOW TER,The Village of Tamarind Grove,Sumter,Sandcastle,329900,3,2,1276,"1 Car, plus Golf Car Garage",,28.87453649,-82.01413282,A,P,,250184
S197.30,3211 ISLAWILD WAY,The Village of Sanibel,Sumter,Sandcastle,376000,3,2,1263,"1 Car, plus Golf Car Garage",,28.85432855,-81.97120425,A,P,,251432
S154.89,2450 POMEROY TER,The Village of St. James,Sumter,Seabreeze,424900,3,2,1522,"2 Car, plus Golf Car Garage",,28.87396991,-82.00829575,A,P,,251439
S159.139,2444 DIVIDING CREEK PATH,The Village of Tamarind Grove,Sumter,The Hammock,399920,3,2,1611,"2 Car, plus Golf Car Garage",,28.87391602,-82.01519919,A,P,,251034
S37.154,1288 DEERFIELD LN,The Village of Glenbrook,Sumter,Madison,416900,2,2,1894,2 Car Garage,,28.94572032,-82.00907059,A,P,,250361
S40.17,1573 NORFOLK AVE,The Village of Belle Aire,Sumter,Volusia,919000,3,2,1871,2 Car Garage,Swimming Pool,28.95214253,-82.00790148,A,P,IuouIJlI89I,250043
S40.16,1581 NORFOLK AVE,The Village of Belle Aire,Sumter,Volusia,850000,3,2,1909,2 Car Garage,Swimming Pool,28.95236732,-82.00784544,A,P,0l34ZI6sxFw,250227
S23.128,2259 MARGARITA DR,The Village Santo Domingo,Sumter,Catalina II,310000,2,2,1248,2 Car Garage,,28.95114174,-81.97866057,A,P,,251397
