ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S750.59,5087 NE 121ST AVE,Bison Valley - Family Neighborhood,Sumter,Whispering Pine,399711,3,2,1839,"2 Car, plus Golf Car Garage",,28.93209705,-82.01902161,A,P,,251055
S971.16,675 TOQUERO ST,Haciendas of Mission Hills,Sumter,Charlotte,424900,3,2,1518,"1 Car, plus Golf Car Garage",,28.91963142,-81.96598837,A,P,,250880
S971.29,627 ARRUDA TER,Haciendas of Mission Hills,Sumter,Charlotte,497711,3,2,1416,"1 Car, plus Golf Car Garage",,28.91825073,-81.96561176,A,P,,250457
S971.128,646 AVECILLA DR,Haciendas of Mission Hills,Sumter,Wyndham,725000,3,2,1871,2 Car Garage,,28.9170139,-81.96507305,A,P,,250836
S971.141,720 AVECILLA DR,Haciendas of Mission Hills,Sumter,Fairmont,699000,3,2,1638,2 Car Garage,,28.91737191,-81.96722553,A,P,qy5Llk-Xx4M,250709
S971.165,598 OSADA AVE,Haciendas of Mission Hills,Sumter,Wyndham,534000,3,2,1715,2 Car Garage,,28.91906292,-81.96651687,A,P,,250036
S1M.61,7431 PRIDDY WAY,Middleton - Family Neighborhood,Sumter,Four Square,429000,4,3,2156,2 Car Garage,,28.75291023,-82.01845884,A,P,tlMiR7VVLTU,250465
S1M.112,7583 CHASTAIN CIR,Middleton - Family Neighborhood,Sumter,Hopscotch,299000,3,2,1295,,,28.74940311,-82.01793949,A,P,,250206
S1M.176,7591 MERGAERT LN,Middleton - Family Neighborhood,Sumter,The Herd,469000,4,2,2058,"2 Car, plus Golf Car Garage",,28.74867522,-82.01882896,A,P,,250587
S1M.212,2570 SKOBLICKI ST,Middleton - Family Neighborhood,Sumter,The Herd,449900,4,2,2002,"2 Car, plus Golf Car Garage",,28.7499421,-82.01882856,A,P,,250867
S2M.6,7670 PRIDDY WAY,Middleton - Family Neighborhood,Sumter,Double Play,789000,5,3.5,2993,"2 Car, plus Golf Car Garage",,28.74759788,-82.02243426,A,P,,251107
S2M.16,2655 CLEVELAND PL,Middleton - Family Neighborhood,Sumter,Fast Break,499000,3,3,2014,2 Car Garage,,28.74722749,-82.0203407,A,P,,250810
S2M.143,2730 ALDER AVE,Middleton - Family Neighborhood,Sumter,Four Square,569900,4,3,2156,2 Car Garage,Swimming Pool,28.74615118,-82.0248375,A,P,,250517
S2M.158,2791 FLOWERS ST,Middleton - Family Neighborhood,Sumter,Follow the Leader,229900,2,2,975,"1 Car, plus Golf Car Garage",,28.74871392,-82.02483615,A,P,,251127
S3M.51,7832 GERSHANECK CIR,Middleton - Family Neighborhood,Sumter,Home Run II,729316,4,3.5,3618,2 Car Garage,,28.74251418,-82.01214398,A,P,,251020
S3M.54,7846 GERSHANECK CIR,Middleton - Family Neighborhood,Sumter,End Zone,599990,4,3,2312,"2 Car, plus Golf Car Garage",,28.74210531,-82.01260184,A,P,,250515
S4M.5,7402 JELANI WAY,Middleton - Family Neighborhood,Sumter,Love,550000,3,3,1998,"2 Car, plus Golf Car Garage",,28.75340752,-82.01516945,A,P,AauFO7sSkuo,250576
S4M.19,7366 CATINAZZO CT,Middleton - Family Neighborhood,Sumter,Follow the Leader,260000,2,2,975,"1 Car, plus Golf Car Garage",,28.75431784,-82.01705847,A,P,,251132
S4M.20,7362 CATINAZZO CT,Middleton - Family Neighborhood,Sumter,Farmer in the Dell,229000,2,2,1031,"1 Car, plus Golf Car Garage",,28.75441244,-82.01714208,A,P,,251001
S4M.49,2435 GILLARD WAY,Middleton - Family Neighborhood,Sumter,Farmer in the Dell,225000,2,2,1031,"1 Car, plus Golf Car Garage",,28.75554615,-82.01485848,A,P,5QxU8vMNwYc,250984
S4M.212,2316 HOBKIRK LOOP,Middleton - Family Neighborhood,Sumter,Farmer in the Dell,222500,2,2,1041,"1 Car, plus Golf Car Garage",,28.7549294,-82.01271278,A,P,gYrn4dq4-xk,250589
S5M.283,2206 MANSELL PATH,Middleton - Family Neighborhood,Sumter,Follow the Leader,224900,2,2,975,"1 Car, plus Golf Car Garage",,28.75161633,-82.00797519,A,P,Nr1l6DVcON8,250895
S190.49,984 IRON OAK WAY,Osceola Hills at Soaring Eagle Preserve,Sumter,Kings Bay,2000000,4,3.5,3651,3 Car Garage,,28.83542563,-81.96786998,A,P,,251284
S190.67,4015 NOSTALGIA TER,Osceola Hills at Soaring Eagle Preserve,Sumter,CUSTOM Premier,1298000,4,3,2936,3 Car Garage,,28.83591138,-81.96904549,A,P,rHYFdkj2EPY,250832
S189.61,3795 NOTTINGHAM LOOP,Osceola Hills at Soaring Eagle Preserve,Sumter,Aspen,625000,3,2,2004,"2 Car, plus Golf Car Garage",,28.84064756,-81.96795626,A,P,,251275
S189.111,3961 VIEW PATH,Osceola Hills at Soaring Eagle Preserve,Sumter,Laurel Oak,798888,3,2,2304,"2 Car, plus Golf Car Garage",,28.83729961,-81.96732008,A,P,hkBbSV3b0Os,251019
S833.54,3104 CARTER PATH,Oxford Oaks - Family Neighborhood,Sumter,Ponderosa Pine-OO,434998,4,2,1978,3 Car Garage,,28.91913607,-82.05104982,A,P,0ZdUs_ICG7M,250404
S833.130,3290 SENNETT CIR,Oxford Oaks - Family Neighborhood,Sumter,Ponderosa Pine-OO,429000,4,2,2084,3 Car Garage,,28.91676779,-82.04713344,A,P,,250986
S833.265,11196 ROZ WAY,Oxford Oaks - Family Neighborhood,Sumter,Grandview,724621,4,2.5,3602,3 Car Garage,Swimming Pool,28.91727928,-82.04324713,A,P,,249908
S833.279,11359 ZIMMERMAN PATH,Oxford Oaks - Family Neighborhood,Sumter,Zinnia-OO,449500,3,3,2013,2 Car Garage,,28.92113872,-82.04164991,A,P,,250425
S833.326,11409 ZIMMERMAN PATH,Oxford Oaks - Family Neighborhood,Sumter,Sarasota-OO,699000,3,2,2587,3 + Car Garage,,28.92240628,-82.03838135,A,P,,250939
S833.365,11325 STEWART LOOP,Oxford Oaks - Family Neighborhood,Sumter,Palm Beach-OO,349555,3,2,1758,2 Car Garage,,28.92155199,-82.04227687,A,P,zfbNo7E7U9U,251226
S833.439,3260 DZURO DR,Oxford Oaks - Family Neighborhood,Sumter,Premier,995000,3,3,2245,,Swimming Pool,28.92047191,-82.0492743,A,P,BbZNqtPilok,247061
L78.27,1204 BOWER LN,Spring Arbor - Family Neighborhood,Lake,Hibiscus,499000,5,3,2301,2 Car Garage,Swimming Pool,28.91899019,-81.95117777,A,P,zwst28yEhhg,249853
S14.31,625 SAN MARINO DR,The Village de La Vista,Sumter,Catalina III,377711,3,2,1587,2 Car Garage,,28.93028314,-81.9626109,A,P,,250927
S14.35,617 SAN MARINO DR,The Village de La Vista,Sumter,Vera Cruz,399000,3,2,1864,2 Car Garage,,28.92993923,-81.96197659,A,P,,248521
S15.50,407 ALDAMA AVE,The Village de La Vista,Sumter,Sedona III,329000,3,2,1437,2 Car Garage,,28.92469678,-81.96773739,A,P,,251296
S690.52,304 GUIDO AVE,The Village de La Vista,Sumter,Baja,294900,2,2,1334,"1 Car, plus Golf Car Garage",,28.92369641,-81.96513328,A,P,,250357
S695.60,412 HILDALGO DR,The Village de La Vista,Sumter,Colony,269000,2,2,1121,"1 Car, plus Golf Car Garage",,28.92514665,-81.96746803,A,P,,250898
S695.119,1703 SONORA ST,The Village de La Vista,Sumter,Colony,239900,2,2,1121,"1 Car, plus Golf Car Garage",,28.92613636,-81.96546952,A,P,,250789
S127.161,439 FOSTER PL,The Village of Amelia,Sumter,Amarillo,339000,3,2,1572,2 Car Garage,,28.88851249,-81.9590199,A,P,,251134
S127.237,278 CORBETT DR,The Village of Amelia,Sumter,Corpus Christi,325000,3,2,1240,"1 Car, plus Golf Car Garage",,28.88789649,-81.95504177,A,P,,250066
S127.253,305 MERCER WAY,The Village of Amelia,Sumter,Laredo,274000,2,2,1100,,,28.88858804,-81.95519423,A,P,WrmJbDO6yRs,250147
S127.272,293 ELWICK LN,The Village of Amelia,Sumter,Laredo,289900,2,2,1100,"1 Car, plus Golf Car Garage",,28.88925866,-81.95480708,A,P,,250305
S128.146,1882 JENKINS CT,The Village of Amelia,Sumter,Gardenia,570000,3,2,1927,"2 Car, plus Golf Car Garage",,28.88764111,-81.9640418,A,P,x_ZM6wPkwXk,250343
S130.100,459 OBOE WAY,The Village of Amelia,Sumter,Amarillo,369900,3,2,1392,2 Car Garage,,28.88455216,-81.95967605,A,P,vWbW4zsC6kc,250642
S700.18,605 LACY PL,The Village of Amelia,Sumter,Marathon,339900,2,2,1196,"1 Car, plus Golf Car Garage",,28.88583703,-81.96422901,A,P,,250925
S648.3,2134 JASPER WAY,The Village of Ashland,Sumter,Anna Maria,498800,3,2,1605,"1 Car, plus Golf Car Garage",,28.91268933,-82.00609118,A,P,SJ4vVak4qL4,250383
S40.16,1581 NORFOLK AVE,The Village of Belle Aire,Sumter,Volusia,850000,3,2,1909,2 Car Garage,,28.95236732,-82.00784544,A,P,0l34ZI6sxFw,250227
S40.17,1573 NORFOLK AVE,The Village of Belle Aire,Sumter,Volusia,919000,3,2,1871,2 Car Garage,Swimming Pool,28.95214253,-82.00790148,A,P,IuouIJlI89I,250043
S40.23,3216 ATWOOD WAY,The Village of Belle Aire,Sumter,Bradford,847007,3,2,2190,"2 Car, plus Golf Car Garage",Swimming Pool,28.95241032,-82.00894023,A,P,NvYHIihaEAs,251247
S40.45,3233 HAMPTON LN,The Village of Belle Aire,Sumter,Flagler,389900,3,2,2044,2 Car Garage,,28.95353307,-82.00948311,A,P,,250732
S41.24,3349 RICHMOND DR,The Village of Belle Aire,Sumter,Amarillo,499000,3,2,1527,2 Car Garage,,28.95805635,-82.0113555,A,P,,251096
S41.140,3264 ROANOKE ST,The Village of Belle Aire,Sumter,Stetson III,350000,3,2,1392,2 Car Garage,,28.95606491,-82.00915286,A,P,,250486
