ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S601.16,1643 CAMPOS DR,The Village Alhambra,Sumter,Cottage,199900,1,1,799,"1 Car, plus Golf Car Garage",,28.95524529,-81.98968008,A,P,,249838
S601.24,1627 CAMPOS DR,The Village Alhambra,Sumter,Colony,264900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95430864,-81.98951979,A,P,,249190
S601.34,1621 NAVIDAD ST,The Village Alhambra,Sumter,Vineyard,267700,2,2,1034,"1 Car, plus Golf Car Garage",,28.95402685,-81.98834752,A,P,,249649
S601.37,1615 NAVIDAD ST,The Village Alhambra,Sumter,Cabot Cove,269900,2,2,1143,"1 Car, plus Golf Car Garage",,28.95378965,-81.98808691,A,P,,249423
S24.17,2528 BOTELLO AVE,The Village Alhambra,Sumter,Austin,339000,2,2,1144,"1 Car, plus Golf Car Garage",,28.95248656,-81.99181568,A,P,,249706
S24.67,2597 PRIVADA DR,The Village Alhambra,Sumter,Stetson III,299900,3,2,1392,2 Car Garage,,28.95249549,-81.98942576,A,P,,249629
S31.114,2724 BENAVIDES DR,The Village Alhambra,Sumter,Stetson III,334000,3,2,1527,2 Car Garage,,28.95457922,-81.99679195,A,P,,249848
S31.139,1703 GOMEZ PL,The Village Alhambra,Sumter,Maverick III,334500,3,2,1210,"1 Car, plus Golf Car Garage",,28.95506524,-81.99552786,A,P,588F49TEYto,249383
L7.1108,1534 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,249850,2,2,1118,,,28.95294239,-81.951816,A,P,,249250
L7.1177,1604 KILEY CT,The Village of Country Club Hills,Lake,Manufactured Home,279900,2,2,1456,,,28.95195401,-81.94740227,A,P,,249965
L7.1211,1610 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,209900,2,2,1446,,,28.95429304,-81.95111179,A,P,,249932
L7.1389,1705 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,199000,2,2,1040,,,28.95799768,-81.95303042,A,P,,248163
L7.1407,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,115900,0,0,0,,,28.95803071,-81.9493937,A,P,,245658
L7.1412,1732 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,El Paso,319900,2,2,1105,,,28.95761121,-81.95058017,A,P,,249885
L8.1493,1630 MAGNOLIA AVE,The Village of Country Club Hills,Lake,Manufactured Home,204900,2,2,1092,,,28.95430315,-81.94657397,A,P,,249246
L8.1817,1826 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,169900,2,2,1092,,,28.95937795,-81.93705855,A,P,,249818
L9.2578,1732 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,179900,2,1,1096,,,28.95597423,-81.94160946,A,P,,248506
L9.2667,1609 DORAL CIR,The Village of Country Club Hills,Lake,Manufactured Home,219900,2,2,1446,,,28.95466476,-81.94127833,A,P,,249146
L10.2158,1528 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Corpus Christi,312000,2,2,1248,2 Car Garage,,28.95251123,-81.93736633,A,P,,249568
