ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S601.24,1627 CAMPOS DR,The Village Alhambra,Sumter,Colony,274900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95430864,-81.98951979,A,P,,249190
S601.37,1615 NAVIDAD ST,The Village Alhambra,Sumter,Cabot Cove,269900,2,2,1143,"1 Car, plus Golf Car Garage",,28.95378965,-81.98808691,A,P,,249423
S601.38,1613 NAVIDAD ST,The Village Alhambra,Sumter,Colony,315000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95371062,-81.98800002,A,P,,248904
S601.126,1619 CAMPOS DR,The Village Alhambra,Sumter,Colony,254900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95397221,-81.98921352,A,P,,248911
S24.3,2645 PRIVADA DR,The Village Alhambra,Sumter,Maverick III,259900,3,2,1210,"1 Car, plus Golf Car Garage",,28.95462855,-81.99298656,A,P,,247244
S31.114,2724 BENAVIDES DR,The Village Alhambra,Sumter,Stetson III,349700,3,2,1527,2 Car Garage,,28.95457922,-81.99679195,A,P,,248721
S31.139,1703 GOMEZ PL,The Village Alhambra,Sumter,Maverick III,364000,3,2,1210,"1 Car, plus Golf Car Garage",,28.95506524,-81.99552786,A,P,588F49TEYto,249383
S31.158,1708 BETRILLO CT,The Village Alhambra,Sumter,Stetson III,329900,3,2,1392,2 Car Garage,,28.95553019,-81.9966841,A,P,,247224
L7.1108,1534 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,259850,2,2,1118,,,28.95294239,-81.951816,A,P,,249250
L7.1145,1617 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,265000,2,2,1352,,,28.95400884,-81.95074569,A,P,,248783
L7.1389,1705 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209000,2,2,1040,,,28.95799768,-81.95303042,A,P,,248163
L7.1407,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,115900,0,0,0,,,28.95803071,-81.9493937,A,P,,245658
L8.1493,1630 MAGNOLIA AVE,The Village of Country Club Hills,Lake,Manufactured Home,214900,2,2,1092,,,28.95430315,-81.94657397,A,P,,249246
L8.1696,815 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,151900,2,1,936,,,28.95797872,-81.94177025,A,P,,249228
L8.1968,1833 HOLLY LN,The Village of Country Club Hills,Lake,Manufactured Home,168500,2,2,1040,,,28.95984574,-81.93663988,A,P,,248998
L9.2444,902 SAINT ANDREWS BLVD,The Village of Country Club Hills,Lake,Manufactured Home,199900,2,2,1248,,,28.9526213,-81.94232474,A,P,,249608
L9.2578,1732 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,179900,2,1,1096,,,28.95597423,-81.94160946,A,P,,248506
L9.2667,1609 DORAL CIR,The Village of Country Club Hills,Lake,Manufactured Home,219900,2,2,1446,,,28.95466476,-81.94127833,A,P,,249146
L10.2158,1528 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Corpus Christi,327500,2,2,1248,2 Car Garage,,28.95251123,-81.93736633,A,P,,249568
L10.2266,1701 PALM AIRE DR,The Village of Country Club Hills,Lake,Manufactured Home,237000,2,2,1352,,,28.95574082,-81.93832095,A,P,9-rt5J71Nbk,249243
L10.2306,1612 BAY MEADOWS LN,The Village of Country Club Hills,Lake,Manufactured Home,259900,2,2,1652,,,28.95316779,-81.93930447,A,P,,248239
L10.2361,1534 HILLCREST DR,The Village of Country Club Hills,Lake,Daytona,275000,2,2,1144,,,28.95202322,-81.94002449,A,P,,248387
L10.2415,715 SAINT ANDREWS BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209000,2,2,1446,,,28.95446632,-81.93936903,A,P,,248640
L11.2819,1601 PINEHURST DR,The Village of Country Club Hills,Lake,Manufactured Home,249900,2,2,1688,,,28.95256409,-81.93614947,A,P,,249239
L13.3317,1411 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,239000,3,2,1456,,,28.9503476,-81.9525273,A,P,,248527
L13.3400,1124 PARADISE DR,The Village of Country Club Hills,Lake,Daytona,234900,2,2,1040,,,28.9519248,-81.95212653,A,P,,248015
S14.35,617 SAN MARINO DR,The Village de La Vista,Sumter,Vera Cruz,445000,3,2,1864,2 Car Garage,,28.92993923,-81.96197659,A,P,,248521
S692.19,605 ENCONTO ST,The Village de La Vista,Sumter,Mazatlan,264000,2,2,1086,"1 Car, plus Golf Car Garage",,28.93051004,-81.95951542,A,P,,249122
S695.58,416 HILDALGO DR,The Village de La Vista,Sumter,Colony,257711,2,2,1121,"1 Car, plus Golf Car Garage",,28.9253681,-81.96747593,A,P,,249588
S695.97,1724 SONORA ST,The Village de La Vista,Sumter,Colony,309747,2,2,1121,"1 Car, plus Golf Car Garage",,28.92562692,-81.96650979,A,P,,249433
L14.4715,1214 DEL TORO DR,The Village Del Mar,Lake,Biscayne,299000,2,2,1098,"1 Car, plus Golf Car Garage",,28.93119551,-81.95223356,A,P,,249216
