ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S601.24,1627 CAMPOS DR,The Village Alhambra,Sumter,Colony,253900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95430864,-81.98951979,A,P,,249190
S24.8,2626 PRIVADA DR,The Village Alhambra,Sumter,Durango,459900,2,2,1213,2 Car Garage,Swimming Pool,28.95397523,-81.99217044,A,P,,250708
S24.17,2528 BOTELLO AVE,The Village Alhambra,Sumter,Austin,339000,2,2,1144,"1 Car, plus Golf Car Garage",,28.95248656,-81.99181568,A,P,,249706
S31.114,2724 BENAVIDES DR,The Village Alhambra,Sumter,Stetson III,334000,3,2,1527,2 Car Garage,,28.95457922,-81.99679195,A,P,,250704
S31.180,2735 PRIVADA DR,The Village Alhambra,Sumter,Stetson III,325000,3,2,1527,2 Car Garage,,28.95427754,-81.9974991,A,P,7apEkVYb5e8,250248
L7.1108,1534 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,245000,2,2,1118,,,28.95294239,-81.951816,A,P,,249250
L7.1211,1610 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,209900,2,2,1446,,,28.95429304,-81.95111179,A,P,,249932
L7.1407,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,100000,0,0,0,,,28.95803071,-81.9493937,A,P,,250812
L7.1412,1732 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,El Paso,289900,2,2,1105,,,28.95761121,-81.95058017,A,P,,249885
L8.1575,1736 MAGNOLIA AVE,The Village of Country Club Hills,Lake,RANCH,269900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95716704,-81.94527661,A,P,,250266
L8.1668,714 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,249500,2,2,1352,,,28.95821793,-81.93856503,A,P,,250342
L8.1699,1802 DAFFODILL LN,The Village of Country Club Hills,Lake,Alameda,225000,2,1,926,"1 Car, plus Golf Car Garage",,28.95798206,-81.94256952,A,P,,250135
L8.1874,1838 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,269900,2,2,1139,"1 Car, plus Golf Car Garage",,28.95893526,-81.94321003,A,P,,250372
L8.1905,1827 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,139900,2,1.5,936,,,28.95988504,-81.94414958,A,P,,250288
L8.1923,820 HIBISCUS DR,The Village of Country Club Hills,Lake,Manufactured Home,234900,2,2,1088,,,28.95946053,-81.94129513,A,P,,250553
L10.2158,1528 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Corpus Christi,305000,2,2,1248,2 Car Garage,,28.95251123,-81.93736633,A,P,,249568
L10.2172,1614 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Cedar Key,315000,2,2,1248,2 Car Garage,,28.95474129,-81.93591495,A,P,,249862
L10.2266,1701 PALM AIRE DR,The Village of Country Club Hills,Lake,Manufactured Home,226990,2,2,1352,,,28.95574082,-81.93832095,A,P,9-rt5J71Nbk,249243
